INFO 2025-04-25 05:43:58,510 task_splitter 421877 127238404048448 Découpage du workflow ffd32acf-6871-457e-b73e-d8751bb7c42c de type TEXT_PROCESSING
ERROR 2025-04-25 05:43:58,527 task_splitter 421877 127238404048448 Erreur lors du découpage du workflow ffd32acf-6871-457e-b73e-d8751bb7c42c: Type de workflow non supporté: TEXT_PROCESSING
INFO 2025-04-25 05:44:09,344 task_splitter 421877 127238404048448 Découpage du workflow ffd32acf-6871-457e-b73e-d8751bb7c42c de type TEXT_PROCESSING
ERROR 2025-04-25 05:44:09,362 task_splitter 421877 127238404048448 Erreur lors du découpage du workflow ffd32acf-6871-457e-b73e-d8751bb7c42c: Type de workflow non supporté: TEXT_PROCESSING
INFO 2025-04-25 05:55:09,603 task_splitter 421877 127238404048448 Découpage du workflow ffd32acf-6871-457e-b73e-d8751bb7c42c de type TEXT_PROCESSING
ERROR 2025-04-25 05:55:09,624 task_splitter 421877 127238404048448 Erreur lors du découpage du workflow ffd32acf-6871-457e-b73e-d8751bb7c42c: Type de workflow non supporté: TEXT_PROCESSING
INFO 2025-04-25 07:20:21,623 task_splitter 421877 127238372591168 Découpage du workflow 085913ff-b110-49ca-83b4-cde8b79cf612 de type TEXT_PROCESSING
ERROR 2025-04-25 07:20:21,642 task_splitter 421877 127238372591168 Erreur lors du découpage du workflow 085913ff-b110-49ca-83b4-cde8b79cf612: Type de workflow non supporté: TEXT_PROCESSING
INFO 2025-04-25 07:21:59,732 task_splitter 455417 125808637118016 Découpage du workflow 7771023f-ca52-4803-8062-67fdf408fa29 de type PDF_GENERATION
ERROR 2025-04-25 07:21:59,755 task_splitter 455417 125808637118016 Erreur lors du découpage du workflow 7771023f-ca52-4803-8062-67fdf408fa29: Type de workflow non supporté: PDF_GENERATION
INFO 2025-04-25 07:22:00,802 task_splitter 455417 125808637118016 Découpage du workflow 7771023f-ca52-4803-8062-67fdf408fa29 de type PDF_GENERATION
ERROR 2025-04-25 07:22:00,821 task_splitter 455417 125808637118016 Erreur lors du découpage du workflow 7771023f-ca52-4803-8062-67fdf408fa29: Type de workflow non supporté: PDF_GENERATION
INFO 2025-04-25 07:28:38,089 task_splitter 458263 138247634159168 Découpage du workflow 814f4df2-56ea-467f-ab69-fbab71f7f450 de type HASH_CALCULATION
ERROR 2025-04-25 07:28:38,107 task_splitter 458263 138247634159168 Erreur lors du découpage du workflow 814f4df2-56ea-467f-ab69-fbab71f7f450: Type de workflow non supporté: HASH_CALCULATION
INFO 2025-04-25 08:03:58,699 task_splitter 463912 134949480957504 Découpage du workflow 2b095703-8671-44c0-9493-0529e84e5345 de type TEXT_PROCESSING
ERROR 2025-04-25 08:03:58,721 task_splitter 463912 134949480957504 Erreur lors du découpage du workflow 2b095703-8671-44c0-9493-0529e84e5345: Type de workflow non supporté: TEXT_PROCESSING
INFO 2025-04-25 08:07:29,017 task_splitter 475760 131596539659840 Découpage du workflow 57516642-003b-495c-85d0-8a83ca97ab6d de type TEXT_PROCESSING
ERROR 2025-04-25 08:07:29,036 task_splitter 475760 131596539659840 Erreur lors du découpage du workflow 57516642-003b-495c-85d0-8a83ca97ab6d: Type de workflow non supporté: TEXT_PROCESSING
INFO 2025-04-25 08:07:31,720 task_splitter 475760 131596539659840 Découpage du workflow 5f274e2a-cebe-4802-b231-7bc6407c1644 de type TEXT_PROCESSING
ERROR 2025-04-25 08:07:31,739 task_splitter 475760 131596539659840 Erreur lors du découpage du workflow 5f274e2a-cebe-4802-b231-7bc6407c1644: Type de workflow non supporté: TEXT_PROCESSING
INFO 2025-04-25 08:07:32,397 task_splitter 475760 131596539659840 Découpage du workflow f125ad1a-8b5e-4a69-bd4f-fdf39d6842a9 de type TEXT_PROCESSING
ERROR 2025-04-25 08:07:32,419 task_splitter 475760 131596539659840 Erreur lors du découpage du workflow f125ad1a-8b5e-4a69-bd4f-fdf39d6842a9: Type de workflow non supporté: TEXT_PROCESSING
INFO 2025-04-25 08:07:32,974 task_splitter 475760 131596539659840 Découpage du workflow fcd6bc49-987c-424a-a595-f559dd199526 de type TEXT_PROCESSING
ERROR 2025-04-25 08:07:32,993 task_splitter 475760 131596539659840 Erreur lors du découpage du workflow fcd6bc49-987c-424a-a595-f559dd199526: Type de workflow non supporté: TEXT_PROCESSING
INFO 2025-04-25 08:07:33,426 task_splitter 475760 131596539659840 Découpage du workflow 31126275-25f8-4ca8-bc2b-7122b4e1b020 de type TEXT_PROCESSING
ERROR 2025-04-25 08:07:33,453 task_splitter 475760 131596539659840 Erreur lors du découpage du workflow 31126275-25f8-4ca8-bc2b-7122b4e1b020: Type de workflow non supporté: TEXT_PROCESSING
INFO 2025-04-25 08:07:33,845 task_splitter 475760 131596539659840 Découpage du workflow 59fc82d2-bd72-4d78-8e3e-487b1ae96058 de type TEXT_PROCESSING
ERROR 2025-04-25 08:07:33,863 task_splitter 475760 131596539659840 Erreur lors du découpage du workflow 59fc82d2-bd72-4d78-8e3e-487b1ae96058: Type de workflow non supporté: TEXT_PROCESSING
INFO 2025-04-25 08:07:34,282 task_splitter 475760 131596539659840 Découpage du workflow e571f70f-adf1-4996-8a5c-e9bdfa8bf0d4 de type TEXT_PROCESSING
ERROR 2025-04-25 08:07:34,300 task_splitter 475760 131596539659840 Erreur lors du découpage du workflow e571f70f-adf1-4996-8a5c-e9bdfa8bf0d4: Type de workflow non supporté: TEXT_PROCESSING
INFO 2025-04-25 08:07:34,692 task_splitter 475760 131596539659840 Découpage du workflow 64665e62-7828-41e0-b63f-46d6e0a9e7be de type TEXT_PROCESSING
ERROR 2025-04-25 08:07:34,711 task_splitter 475760 131596539659840 Erreur lors du découpage du workflow 64665e62-7828-41e0-b63f-46d6e0a9e7be: Type de workflow non supporté: TEXT_PROCESSING
INFO 2025-04-25 08:07:35,061 task_splitter 475760 131596539659840 Découpage du workflow 09c90c0a-b5b9-49ab-897f-ab844af00bcd de type TEXT_PROCESSING
ERROR 2025-04-25 08:07:35,079 task_splitter 475760 131596539659840 Erreur lors du découpage du workflow 09c90c0a-b5b9-49ab-897f-ab844af00bcd: Type de workflow non supporté: TEXT_PROCESSING
INFO 2025-04-25 08:07:35,477 task_splitter 475760 131596539659840 Découpage du workflow 85798fe7-4a96-46c0-977d-bdc65b6ef904 de type TEXT_PROCESSING
ERROR 2025-04-25 08:07:35,496 task_splitter 475760 131596539659840 Erreur lors du découpage du workflow 85798fe7-4a96-46c0-977d-bdc65b6ef904: Type de workflow non supporté: TEXT_PROCESSING
INFO 2025-04-25 08:07:36,051 task_splitter 475760 131596539659840 Découpage du workflow cc26a68d-35ee-432a-89a8-eaac04789a16 de type TEXT_PROCESSING
ERROR 2025-04-25 08:07:36,070 task_splitter 475760 131596539659840 Erreur lors du découpage du workflow cc26a68d-35ee-432a-89a8-eaac04789a16: Type de workflow non supporté: TEXT_PROCESSING
INFO 2025-04-25 08:20:56,109 task_splitter 475760 131596539659840 Découpage du workflow ef382b7a-a748-4126-bee7-7d462a44bdf5 de type TEXT_PROCESSING
ERROR 2025-04-25 08:20:56,133 task_splitter 475760 131596539659840 Erreur lors du découpage du workflow ef382b7a-a748-4126-bee7-7d462a44bdf5: Type de workflow non supporté: TEXT_PROCESSING
INFO 2025-04-25 08:20:58,284 task_splitter 475760 131596539659840 Découpage du workflow 9ea2a2ca-e33d-4e08-baee-b2fb6f85c03f de type TEXT_PROCESSING
ERROR 2025-04-25 08:20:58,302 task_splitter 475760 131596539659840 Erreur lors du découpage du workflow 9ea2a2ca-e33d-4e08-baee-b2fb6f85c03f: Type de workflow non supporté: TEXT_PROCESSING
INFO 2025-04-25 08:20:59,370 task_splitter 475760 131596539659840 Découpage du workflow c3fe3736-1d3e-4436-af00-845e86621ffa de type TEXT_PROCESSING
ERROR 2025-04-25 08:20:59,389 task_splitter 475760 131596539659840 Erreur lors du découpage du workflow c3fe3736-1d3e-4436-af00-845e86621ffa: Type de workflow non supporté: TEXT_PROCESSING
INFO 2025-04-25 08:20:59,920 task_splitter 475760 131596539659840 Découpage du workflow a5474e0d-bae5-40d9-aa7f-135275fa4018 de type TEXT_PROCESSING
ERROR 2025-04-25 08:20:59,938 task_splitter 475760 131596539659840 Erreur lors du découpage du workflow a5474e0d-bae5-40d9-aa7f-135275fa4018: Type de workflow non supporté: TEXT_PROCESSING
INFO 2025-04-25 08:21:00,336 task_splitter 475760 131596539659840 Découpage du workflow b3173b3f-3b32-4966-a107-cabc9a2ab826 de type TEXT_PROCESSING
ERROR 2025-04-25 08:21:00,356 task_splitter 475760 131596539659840 Erreur lors du découpage du workflow b3173b3f-3b32-4966-a107-cabc9a2ab826: Type de workflow non supporté: TEXT_PROCESSING
INFO 2025-04-25 08:21:00,731 task_splitter 475760 131596539659840 Découpage du workflow ecc08499-c445-424d-a421-7cded75e39c6 de type TEXT_PROCESSING
ERROR 2025-04-25 08:21:00,751 task_splitter 475760 131596539659840 Erreur lors du découpage du workflow ecc08499-c445-424d-a421-7cded75e39c6: Type de workflow non supporté: TEXT_PROCESSING
INFO 2025-04-25 08:21:01,121 task_splitter 475760 131596539659840 Découpage du workflow 5088ca96-f3e2-4b5e-8aa3-8053d8938f17 de type TEXT_PROCESSING
ERROR 2025-04-25 08:21:01,141 task_splitter 475760 131596539659840 Erreur lors du découpage du workflow 5088ca96-f3e2-4b5e-8aa3-8053d8938f17: Type de workflow non supporté: TEXT_PROCESSING
INFO 2025-04-25 08:21:01,521 task_splitter 475760 131596539659840 Découpage du workflow 71d9d753-d5e1-42e0-821c-0bb79d3c3edc de type TEXT_PROCESSING
ERROR 2025-04-25 08:21:01,542 task_splitter 475760 131596539659840 Erreur lors du découpage du workflow 71d9d753-d5e1-42e0-821c-0bb79d3c3edc: Type de workflow non supporté: TEXT_PROCESSING
INFO 2025-04-25 08:21:01,926 task_splitter 475760 131596539659840 Découpage du workflow 5faf5802-0f10-40a5-a046-d468b7f193a3 de type TEXT_PROCESSING
ERROR 2025-04-25 08:21:01,944 task_splitter 475760 131596539659840 Erreur lors du découpage du workflow 5faf5802-0f10-40a5-a046-d468b7f193a3: Type de workflow non supporté: TEXT_PROCESSING
INFO 2025-04-25 08:21:09,708 task_splitter 475760 131596539659840 Découpage du workflow 008d5dbd-6a22-45bf-9116-36f7b72f50b3 de type TEXT_PROCESSING
ERROR 2025-04-25 08:21:09,731 task_splitter 475760 131596539659840 Erreur lors du découpage du workflow 008d5dbd-6a22-45bf-9116-36f7b72f50b3: Type de workflow non supporté: TEXT_PROCESSING
INFO 2025-04-25 08:27:46,225 task_splitter 484924 129663821153856 Découpage du workflow 168826df-3e44-4c0c-aacd-da15b6e6e2a4 de type TEXT_PROCESSING
ERROR 2025-04-25 08:27:46,249 task_splitter 484924 129663821153856 Erreur lors du découpage du workflow 168826df-3e44-4c0c-aacd-da15b6e6e2a4: Type de workflow non supporté: TEXT_PROCESSING
INFO 2025-04-25 08:38:08,862 views 492293 130867852740160 Original workflow type: TEXT_PROCESSING
INFO 2025-04-25 08:44:12,430 views 495092 137672853030464 Original workflow type: TEXT_PROCESSING
INFO 2025-04-25 08:52:54,257 views 499585 127922880906816 Original workflow type: TEXT_PROCESSING
ERROR 2025-04-25 08:52:54,269 views 499585 127922880906816 Erreur lors de la soumission du workflow: name 'TaskSplitter' is not defined
INFO 2025-04-25 08:54:20,215 views 500786 135650567259712 Original workflow type: TEXT_PROCESSING
INFO 2025-04-25 08:54:20,228 task_splitter 500786 135650567259712 Découpage du workflow a2b609db-0362-477b-a742-a633b901e4bd de type TEXT_PROCESSING
INFO 2025-04-25 08:54:20,228 task_splitter 500786 135650567259712 Original workflow type: TEXT_PROCESSING
INFO 2025-04-25 08:54:20,228 task_splitter 500786 135650567259712 Mapped workflow type: TEXT_PROCESSING
