task_id,start_time,end_time,execution_time
task_1,0.0,519.1698882484882,519.1698882484882
task_2,0.0,892.4912309100487,892.4912309100487
task_3,0.0,669.3482217366148,669.3482217366148
task_4,0.0,725.2951639613373,725.2951639613373
task_5,0.0,905.0641883692097,905.0641883692097
task_6,0.0,514.214250169776,514.214250169776
task_7,514.214250169776,1435.4015824437392,921.1873322739632
task_8,519.1698882484882,1360.2689854649395,841.0990972164514
task_9,669.3482217366148,1462.078594124157,792.7303723875422
task_10,725.2951639613373,1285.8591510593612,560.563987098024
task_11,892.4912309100487,1798.3260716490881,905.8348407390395
task_12,905.0641883692097,1784.8885194859945,879.8243311167848
task_13,1285.8591510593612,2094.6340907287913,808.7749396694301
task_14,1360.2689854649395,2216.7713292646345,856.5023437996949
task_15,1435.4015824437392,2048.9487300233554,613.5471475796162
